,0,1,2,3,4
0,294.375,148.4375,541.375,737.4375,0.9396286010742188
1,285.3125,154.875,553.3125,737.375,0.9386658668518066
2,283.8125,164.25,554.5625,736.75,0.9348149299621582
3,282.875,172.375,556.375,737.875,0.9362590312957764
4,283.0,177.34375,556.75,738.34375,0.9357776641845703
5,280.75,177.6875,553.25,738.1875,0.93337082862854
6,280.1875,171.5,588.4375,737.5,0.924706220626831
7,280.28125,168.3125,623.53125,737.8125,0.9141161441802979
8,279.03125,165.28125,660.28125,737.28125,0.9449236392974854
9,279.1875,163.625,690.1875,736.625,0.9526255130767822
10,249.875,160.9375,727.625,736.4375,0.9579205513000488
11,232.5,160.25,742.25,736.25,0.9579205513000488
12,219.4375,159.3125,756.9375,736.3125,0.959364652633667
13,206.5625,158.25,768.0625,736.75,0.959364652633667
14,176.25,155.5625,771.75,736.5625,0.9555137157440186
15,158.125,154.6875,767.125,736.6875,0.9434795379638672
16,121.75,161.875,759.75,735.875,0.8245818614959717
17,106.5625,170.90625,650.0625,735.90625,0.9280757904052734
18,91.78125,185.875,610.28125,735.875,0.9487745761871338
19,79.171875,197.375,551.671875,735.875,0.950700044631958
20,67.109375,207.09375,544.859375,736.09375,0.9487745761871338
21,65.09375,209.0625,550.84375,736.0625,0.9511814117431641
22,73.765625,207.78125,552.265625,736.78125,0.9555137157440186
23,107.53125,188.09375,561.53125,735.59375,0.9487745761871338
24,130.40625,178.53125,567.15625,735.53125,0.9482932090759277
25,155.75,165.0625,568.5,735.5625,0.9391472339630127
26,176.0625,155.875,568.3125,735.875,0.9377031326293945
27,191.46875,146.4375,569.96875,736.4375,0.9203739166259766
28,207.90625,142.375,567.40625,735.875,0.9405913352966309
29,228.8125,141.3125,563.5625,736.8125,0.9444422721862793
30,236.53125,144.9375,567.03125,736.4375,0.9487745761871338
31,242.84375,147.3125,571.84375,736.3125,0.9487745761871338
32,250.375,147.75,577.875,736.25,0.942035436630249
33,259.9375,146.5,574.4375,736.5,0.9434795379638672
34,269.9375,142.25,572.4375,736.75,0.9478118419647217
35,269.0,138.3125,572.0,737.3125,0.9478118419647217
36,265.125,132.25,568.375,735.75,0.950700044631958
37,259.78125,130.6875,561.28125,736.1875,0.9526255130767822
38,257.875,133.8125,555.375,736.3125,0.9540696144104004
39,257.875,135.6875,550.625,736.1875,0.9531068801879883
40,258.15625,138.0625,545.40625,736.0625,0.9511814117431641
41,260.84375,140.1875,534.09375,735.1875,0.9478118419647217
42,266.59375,137.9375,524.84375,735.4375,0.9439609050750732
43,268.09375,135.4375,522.71875,735.9375,0.9434795379638672
44,269.90625,132.3125,521.28125,736.3125,0.942035436630249
45,271.78125,128.3125,520.90625,736.8125,0.9405913352966309
